# City centres used to snap a user's location to their city. Columns: name, lat, lng, population.
# Source: GeoNames cities15000 (https://www.geonames.org), licensed CC BY 4.0.
# Rows with feature code PPLX (a section of a populated place, i.e. suburbs) are removed.
Profesor Salvador Mazza	-22.0490	-63.6908	25328
Presidencia Roque Sáenz Peña	-26.7909	-60.4413	81879
Pocito	-31.6833	-68.5833	40969
Plottier	-38.9667	-68.2333	52291
Pilar	-31.6813	-63.8824	18455
Pigüé	-37.6026	-62.4084	15905
Pico Truncado	-46.7994	-67.9578	25194
Pichanal	-23.3164	-64.2183	28017
Pergamino	-33.8910	-60.5746	91399
Pérez	-32.9984	-60.7679	24436
Perdriel	-33.0749	-68.8884	19321
Pehuajó	-35.8108	-61.8990	36507
Paraná	-31.7327	-60.5290	247139
Palpalá	-24.2580	-65.2136	48199
Olavarría	-36.8938	-60.3232	89721
Nueve de Julio	-35.4439	-60.8846	42098
Neuquén	-38.9508	-68.0592	231198
Morteros	-30.7107	-62.0071	20558
Monteros	-27.1683	-65.4989	23771
San José de Metán	-25.4971	-64.9711	34601
Mendoza	-32.8895	-68.8458	114893
Marcos Juárez	-32.6978	-62.1067	24226
Malargüe	-35.4779	-69.5852	27355
Machagai	-26.9262	-60.0485	28070
Lincoln	-34.8682	-61.5293	32773
Libertador General San Martín	-23.8131	-64.7935	49267
Las Varillas	-31.8704	-62.7197	18631
Las Heras	-46.5413	-68.9323	24728
Las Breñas	-27.0882	-61.0822	26955
La Rioja	-29.4133	-66.8564	178872
La Falda	-31.0932	-64.4845	15112
La Calera	-31.3458	-64.3385	24796
Laboulaye	-34.1269	-63.3908	19908
Junín	-34.5939	-60.9464	87509
Joaquín V. González	-25.1136	-64.1263	19185
Jesús María	-30.9815	-64.0942	36343
Granadero Baigorria	-32.8568	-60.7175	32427
Gobernador Gálvez	-33.0302	-60.6405	74650
General Villegas	-35.0326	-63.0148	22474
Los Toldos	-35.0000	-61.0387	17752
General Roca	-39.0333	-67.5833	73212
General Pinedo	-27.3253	-61.2810	15741
General Pico	-35.6593	-63.7579	66805
General Güemes	-24.6745	-65.0466	38048
General Mosconi	-22.5962	-63.8110	19811
General Alvear	-34.9775	-67.6962	35626
General Acha	-37.3782	-64.6042	15101
Gálvez	-32.0296	-61.2210	18374
Firmat	-33.4594	-61.4832	18294
Famaillá	-27.0545	-65.4019	30951
Esquel	-42.9115	-71.3195	28486
Esperanza	-31.4496	-60.9315	35885
Embarcación	-23.2100	-64.0996	23961
Embalse	-32.2068	-64.4006	15900
El Calafate	-50.3407	-72.2768	22844
El Bolsón	-41.9605	-71.5334	21287
Diamante	-32.0671	-60.6427	19545
Deán Funes	-30.4250	-64.3527	20164
Cutral-Có	-38.9342	-69.2305	47380
Cruz del Eje	-30.7264	-64.8039	28166
Crespo	-32.0308	-60.3062	18296
Cosquín	-31.2452	-64.4657	19070
Coronel Suárez	-37.4586	-61.9329	32525
Coronel Pringles	-37.9857	-61.3504	21555
Coronda	-31.9736	-60.9194	16975
Córdoba	-31.4065	-64.1885	2106734
Comodoro Rivadavia	-45.8626	-67.4940	140850
Colonia Caroya	-31.0220	-64.0617	24197
Colón	-33.8971	-61.0994	26067
Cipolletti	-38.9339	-67.9903	95524
Cinco Saltos	-38.8222	-68.0629	26399
Chivilcoy	-34.8969	-60.0191	65575
Chimbas	-31.4931	-68.5326	73829
Chilecito	-29.1616	-67.4993	42248
Charata	-27.2179	-61.1874	27813
Chacabuco	-34.6420	-60.4712	46440
San José de los Cerrillos	-24.8971	-65.4844	37950
Centenario	-38.8295	-68.1318	48101
Caucete	-31.6515	-68.2822	32454
Catriel	-37.8755	-67.7945	15169
Juan José Castelli	-25.9466	-60.6201	36588
Casilda	-33.0446	-61.1642	32002
Carmen de Patagones	-40.8025	-62.9835	25982
Carlos Casares	-35.6225	-61.3655	19397
Carcarañá	-32.8570	-61.1511	15619
Capitán Bermúdez	-32.8226	-60.7185	27060
Cañada de Gómez	-32.8203	-61.3951	36000
Caleta Olivia	-46.4479	-67.5227	56310
Cafayate	-26.0729	-65.9777	16836
Bragado	-35.1156	-60.4896	38794
Bell Ville	-32.6302	-62.6888	35105
Bella Vista	-27.0342	-65.3020	15126
Belén	-27.6495	-67.0263	15172
Bahía Blanca	-38.7176	-62.2655	299101
Arroyo Seco	-33.1536	-60.5117	20620
Arroyito	-31.4192	-63.0508	19577
Arrecifes	-34.0631	-60.1026	30397
Añatuya	-28.4602	-62.8335	20261
Alta Gracia	-31.6498	-64.4297	40384
Allen	-38.9774	-67.8271	27707
Albardón	-31.4372	-68.5256	20413
Aimogasta	-28.5600	-66.8074	16625
Aguilares	-27.4315	-65.6146	32494
Villa Mercedes	-33.6757	-65.4578	96781
Avellaneda	-34.6602	-58.3674	367554
San Miguel	-34.5433	-58.7123	168762
San Carlos de Bariloche	-41.1456	-71.3082	95394
Moreno	-34.6340	-58.7914	148290
Adrogué	-34.8004	-58.3838	28265
La Unión	-34.8756	-58.5419	24293
Ingeniero Pablo Nogués	-34.4778	-58.7065	38470
Villa Sarmiento	-34.6336	-58.5705	17481
San Vicente	-26.9963	-54.4770	29231
José C. Paz	-34.5154	-58.7681	230208
Rawson	-31.5819	-68.5421	130258
Pago Pago	-14.2781	-170.7025	11500
Wolfsberg	46.8406	14.8442	25035
Wiener Neustadt	47.8049	16.2320	44820
Vienna	48.2085	16.3721	1691468
Wels	48.1667	14.0333	16857
Villach	46.6103	13.8558	58882
Traun	48.2209	14.2383	25345
Telfs	47.3071	11.0682	15229
Stockerau	48.3833	16.2167	16292
Steyr	48.0427	14.4213	38331
Sankt Pölten	48.2076	15.6372	21911
Salzburg	47.7994	13.0440	157245
Saalfelden am Steinernen Meer	47.4268	12.8480	16790
Perchtoldsdorf	48.1193	16.2661	15047
Mödling	48.0861	16.2892	20555
Lustenau	47.4264	9.6585	22821
Linz	48.3064	14.2861	204846
Klosterneuburg	48.3052	16.3252	15614
Klagenfurt am Wörthersee	46.6247	14.3053	100316
Innsbruck	47.2627	11.3945	132493
Hohenems	47.3612	9.6869	16317
Graz	47.0673	15.4420	303270
Feldkirch	47.2364	9.5973	33420
Eisenzicken	47.2760	16.2591	54353
Dornbirn	47.4143	9.7419	49278
Bregenz	47.5031	9.7471	29806
Bludenz	47.1548	9.8225	15102
Baden	48.0054	16.2326	26286
Ansfelden	48.2097	14.2900	18251
Amstetten	48.1229	14.8721	15559
Whyalla	-33.0327	137.5648	20880
Rockingham	-32.2768	115.7298	15312
Port Hedland	-20.3121	118.6106	15298
Perth	-31.9522	115.8614	2384371
Mount Isa	-20.7252	139.4973	18317
Mount Barker	-35.0667	138.8667	21554
Mandurah	-32.5269	115.7217	107643
Kwinana	-32.2301	115.7813	30433
Kalgoorlie	-30.7461	121.4742	29072
Geraldton	-28.7790	114.6146	38595
Gawler	-34.6025	138.7490	20006
Darwin	-12.4611	130.8418	139902
Busselton	-33.6525	115.3455	27233
Bunbury	-33.3271	115.6414	76452
Alice Springs	-23.6975	133.8836	25912
Albany	-35.0269	117.8837	35053
Adelaide	-34.9287	138.5986	1469163
Wodonga	-36.1218	146.8881	38949
Warwick	-28.2190	152.0344	15380
Warrnambool	-38.3818	142.4880	32894
Warragul	-38.1591	145.9312	19856
Wangaratta	-36.3585	146.3206	29808
Wallan	-37.4162	144.9786	15004
Tuggeranong	-35.4165	149.0695	89461
Traralgon	-38.1953	146.5415	26907
Townsville	-19.2664	146.8057	201313
Torquay	-38.3308	144.3264	18534
Toowoomba	-27.5606	151.9539	142163
Taree	-31.9110	152.4539	16359
Tamworth	-31.0905	150.9290	43874
Sydney	-33.8678	151.2073	5638830
Shepparton	-36.3805	145.3987	32067
Rockhampton	-23.3803	150.5060	81021
Port Macquarie	-31.4308	152.9089	51965
Orange	-33.2840	149.1002	41920
